5.000,0.028,0.033,0.063
12.000,0.246,0.193,0.172
19.000,0.698,0.448,0.323
26.000,1.056,0.930,1.014
33.000,1.950,1.732,1.532
40.000,3.459,2.954,2.507
47.000,5.251,4.614,4.110
54.000,8.348,7.304,6.270
61.000,11.648,10.414,9.005
68.000,16.298,14.129,11.980
75.000,21.585,18.848,16.710
82.000,28.430,24.519,20.957
89.000,36.321,31.536,27.232
96.000,45.413,39.522,34.930
103.000,56.772,48.279,41.455
110.000,69.393,58.900,50.312
117.000,82.821,71.665,62.881
124.000,98.362,83.044,71.858
131.000,116.184,98.347,86.236
138.000,135.370,118.114,100.957
145.000,194.788,136.763,118.905
152.000,183.722,156.052,133.195
159.000,210.325,180.821,157.410
166.000,239.919,201.938,175.902
173.000,269.493,230.343,197.382
180.000,303.002,256.700,223.146
187.000,338.608,287.012,246.601
194.000,381.216,326.343,279.112
201.000,419.368,365.122,317.362
208.000,465.884,403.020,342.480
215.000,526.266,449.707,404.428
222.000,579.674,490.817,430.003
229.000,626.903,538.283,461.299
236.000,689.470,588.529,504.431
243.000,755.225,647.667,558.742
250.000,830.215,701.852,607.180
257.000,890.810,768.710,667.148
264.000,988.407,842.412,726.976
271.000,1047.629,915.266,789.425
278.000,1146.211,994.233,847.342
285.000,1237.068,1083.792,931.044
292.000,1331.762,1173.422,997.015
299.000,1436.492,1269.432,1077.792
306.000,1538.553,1375.544,1169.125
313.000,1652.785,1483.328,1253.828
320.000,1778.062,1582.003,1323.290
327.000,1884.188,1677.030,1430.528
334.000,2009.989,1797.592,1522.134
341.000,2174.026,1972.108,1650.869
348.000,2309.905,2084.142,1760.560
355.000,2472.032,2242.993,1883.507
362.000,2631.928,2416.195,1996.443
369.000,2787.553,2636.918,2160.781
376.000,2935.844,2697.324,2260.997
383.000,3124.342,2885.485,2345.975
390.000,3279.047,3109.558,2571.909
397.000,3500.684,3250.189,2681.812
404.000,3725.424,3421.346,2869.951
411.000,3933.013,3650.855,3033.365
418.000,4158.350,3855.330,3175.004
425.000,4349.342,4102.110,3362.370
432.000,4612.197,4287.128,3571.099
439.000,4809.821,4550.748,3718.817
446.000,5065.610,4695.584,3872.533
453.000,5323.925,4979.687,4101.541
460.000,5630.760,5198.532,4270.711
467.000,5895.694,5591.116,4549.041
474.000,6155.580,5837.507,4766.164
481.000,6484.305,6045.040,4940.401
488.000,6724.131,6282.122,5162.382
495.000,7044.623,6657.853,5419.101
